year SA3 cases city_cases pcnt_of_cases popn pcnt_of_popn city_popn
2015 20904 431.64313989999977 10741.9907961 4.018278809703622 224581 5.075342213447721 4424943
2016 20904 257.85778259999995 7151.113773900001 3.6058408627355973 224581 5.075342213447721 4424943
2010 21001 16.459331000000002 1305.4336834 1.2608324121936014 61472 1.3892156350940565 4424943
2011 21001 30.734388400000004 1813.1387244000002 1.6950930442550973 61472 1.3892156350940565 4424943
2012 21001 60.50683900000001 3579.0621404 1.6905780516355522 61472 1.3892156350940565 4424943
2013 21001 56.3383112 3233.1670311999997 1.7425116196081545 61472 1.3892156350940565 4424943
2014 21001 97.0020486 5797.6838775000015 1.6731172421533942 61472 1.3892156350940565 4424943
2015 21001 175.2070694 10741.9907961 1.6310484036498232 61472 1.3892156350940565 4424943
2016 21001 92.323399 7151.113773900001 1.2910352417683546 61472 1.3892156350940565 4424943
2010 21002 6.054891699999999 1305.4336834 0.4638222360120234 30739 0.6946756150305213 4424943
2011 21002 5.1724904 1813.1387244000002 0.2852782487292399 30739 0.6946756150305213 4424943
2012 21002 13.193962199999998 3579.0621404 0.3686430042962436 30739 0.6946756150305213 4424943
2013 21002 7.3581503 3233.1670311999997 0.2275833642058697 30739 0.6946756150305213 4424943
2014 21002 29.196854300000005 5797.6838775000015 0.5035951410408716 30739 0.6946756150305213 4424943
2015 21002 102.3071917 10741.9907961 0.9524043879942977 30739 0.6946756150305213 4424943
2016 21002 35.51559639999999 7151.113773900001 0.49664426441688203 30739 0.6946756150305213 4424943
2010 21003 20.5465328 1305.4336834 1.5739239044672562 79587 1.7985994395860014 4424943
2011 21003 34.508849600000005 1813.1387244000002 1.9032658194104588 79587 1.7985994395860014 4424943
2012 21003 79.035018 3579.0621404 2.208260569378294 79587 1.7985994395860014 4424943
2013 21003 49.513144800000006 3233.1670311999997 1.5314131414244645 79587 1.7985994395860014 4424943
2014 21003 108.1284783 5797.6838775000015 1.8650288733339098 79587 1.7985994395860014 4424943
2015 21003 202.19602580000003 10741.9907961 1.8822956529939454 79587 1.7985994395860014 4424943
2016 21003 134.507892 7151.113773900001 1.8809362604595152 79587 1.7985994395860014 4424943
2010 21004 6.9883601 1305.4336834 0.5353286182871294 40978 0.9260684261921566 4424943
2011 21004 12.478034300000001 1813.1387244000002 0.6882007500076535 40978 0.9260684261921566 4424943
2012 21004 39.05406709999999 3579.0621404 1.091181588024489 40978 0.9260684261921566 4424943
2013 21004 27.475293800000003 3233.1670311999997 0.8497950627005642 40978 0.9260684261921566 4424943
2014 21004 56.426135699999996 5797.6838775000015 0.9732530591911353 40978 0.9260684261921566 4424943
2015 21004 144.9610017 10741.9907961 1.349479853889185 40978 0.9260684261921566 4424943
2016 21004 65.44587169999998 7151.113773900001 0.9151843163069657 40978 0.9260684261921566 4424943
2010 21005 29.3734605 1305.4336834 2.250092124442267 169296 3.825947588477411 4424943
2011 21005 54.648920100000005 1813.1387244000002 3.01405068264064 169296 3.825947588477411 4424943
2012 21005 138.7997752 3579.0621404 3.8781046473947947 169296 3.825947588477411 4424943
2013 21005 126.63193859999998 3233.1670311999997 3.916653157043982 169296 3.825947588477411 4424943
2014 21005 151.6908723 5797.6838775000015 2.6164046799566116 169296 3.825947588477411 4424943
2015 21005 447.52838720000005 10741.9907961 4.166158728812914 169296 3.825947588477411 4424943
2016 21005 263.2706577999999 7151.113773900001 3.681533620131736 169296 3.825947588477411 4424943
2010 21101 46.97270000000002 1305.4336834 3.5982448283132764 160712 3.6319563890427515 4424943
2011 21101 34.5982886 1813.1387244000002 1.9081986466010308 160712 3.6319563890427515 4424943
2012 21101 90.45667200000001 3579.0621404 2.527384785498317 160712 3.6319563890427515 4424943
2013 21101 103.1327667 3233.1670311999997 3.1898372618788575 160712 3.6319563890427515 4424943
2014 21101 213.57116890000003 5797.6838775000015 3.6837325630816093 160712 3.6319563890427515 4424943
2015 21101 330.6275865 10741.9907961 3.077898620244937 160712 3.6319563890427515 4424943
2016 21101 250.44467400000002 7151.113773900001 3.5021771701363247 160712 3.6319563890427515 4424943
2010 21102 6.090812599999999 1305.4336834 0.46657388096011787 27426 0.6198045940930764 4424943
2011 21102 5.0580836 1813.1387244000002 0.2789683730170073 27426 0.6198045940930764 4424943
2012 21102 20.770453800000006 3579.0621404 0.580332304531563 27426 0.6198045940930764 4424943
2013 21102 13.937539699999999 3233.1670311999997 0.43108010088878823 27426 0.6198045940930764 4424943
2014 21102 31.164245 5797.6838775000015 0.537529221297216 27426 0.6198045940930764 4424943
