"year" "SA3" "ratio" "median_ratio"
2012 20902 1.35893414567371 0.887062984323734
2011 20902 1.02643588788103 0.887062984323734
2010 20902 1.22128360749915 0.887062984323734
2013 20902 0.732293243530205 0.887062984323734
2014 20902 0.847516637972471 0.887062984323734
2015 20902 0.855904711662651 0.887062984323734
2015 20903 1.79471695407741 1.60854724247712
2012 20903 1.60854724247712 1.60854724247712
2016 20903 1.36285423058956 1.60854724247712
2014 20903 1.47014148274277 1.60854724247712
2013 20903 2.23713187373747 1.60854724247712
2011 20903 0.897553818461575 1.60854724247712
2010 20903 1.80696844788431 1.60854724247712
2011 20904 0.813881004903021 0.794161666346399
2015 20904 0.7917256887736 0.794161666346399
2013 20904 0.970814669226183 0.794161666346399
2012 20904 0.661588384032586 0.794161666346399
2010 20904 1.00473909626439 0.794161666346399
2014 20904 0.794161666346399 0.794161666346399
2016 20904 0.710462607463492 0.794161666346399
2015 21001 1.17407864009491 1.2043610796535
2014 21001 1.2043610796535 1.2043610796535
2016 21001 0.92932674320279 1.2043610796535
2011 21001 1.22017993566588 1.2043610796535
2010 21001 0.907585820619012 1.2043610796535
2013 21001 1.2543132798028 1.2043610796535
2012 21001 1.216929905573 1.2043610796535
2015 21002 1.37100593051975 0.667681758185286
2014 21002 0.724935682417391 0.667681758185286
2013 21002 0.327610987461926 0.667681758185286
2016 21002 0.714929750909799 0.667681758185286
2011 21002 0.410663974028664 0.667681758185286
2010 21002 0.667681758185286 0.667681758185286
2012 21002 0.530669274003589 0.667681758185286
2016 21003 1.04577829785851 1.04577829785851
2015 21003 1.04653410401774 1.04577829785851
2014 21003 1.03693397889816 1.04577829785851
2013 21003 0.851447580666967 1.04577829785851
2012 21003 1.22776673937282 1.04577829785851
2011 21003 1.05819326834025 1.04577829785851
2010 21003 0.875083061756952 1.04577829785851
2012 21004 1.17829477516176 0.988246970118672
2016 21004 0.988246970118672 0.988246970118672
2013 21004 0.917637443050276 0.988246970118672
2010 21004 0.578065943235225 0.988246970118672
2014 21004 1.05095156217883 0.988246970118672
2011 21004 0.743142440173048 0.988246970118672
2015 21004 1.45721397655034 0.988246970118672
2011 21005 0.787791942502831 0.962254065167906
2016 21005 0.962254065167906 0.962254065167906
2012 21005 1.01363245515293 0.962254065167906
2013 21005 1.02370800082044 0.962254065167906
2015 21005 1.08892205982124 0.962254065167906
2010 21005 0.58811368227282 0.962254065167906
2014 21005 0.68385795138345 0.962254065167906
2016 21101 0.964267407147851 0.878269703761388
2011 21101 0.525391398519507 0.878269703761388
2012 21101 0.695874210693494 0.878269703761388
2013 21101 0.878269703761388 0.878269703761388
2010 21101 0.990718071166499 0.878269703761388
2015 21101 0.847449223104839 0.878269703761388
2014 21101 1.01425572570063 0.878269703761388
2014 21102 0.867255948761966 0.867255948761966
2013 21102 0.69550968966205 0.867255948761966
2016 21102 0.966996707046051 0.867255948761966
2015 21102 1.01737699761444 0.867255948761966
2010 21102 0.752775770632723 0.867255948761966
2012 21102 0.936314945165466 0.867255948761966
2011 21102 0.450090844236489 0.867255948761966
2016 21103 0.925270037821389 0.635105502884788
2015 21103 0.825316878107054 0.635105502884788
2014 21103 0.542258184659594 0.635105502884788
2013 21103 0.412110692964091 0.635105502884788
2012 21103 0.635105502884788 0.635105502884788
2011 21103 0.59341300036154 0.635105502884788
2010 21103 0.711004676997952 0.635105502884788
2014 21104 1.10453561044739 0.844820876729586
2015 21104 0.810610808475037 0.844820876729586
2010 21104 0.320141421072093 0.844820876729586
2013 21104 1.14107911070811 0.844820876729586
2012 21104 0.700486333828142 0.844820876729586
2011 21104 0.844820876729586 0.844820876729586
2016 21104 1.11030762672492 0.844820876729586
2015 21105 1.17097232133692 0.827502827052068
2010 21105 0.495123656720295 0.827502827052068
2013 21105 0.645312670902345 0.827502827052068
2012 21105 0.732531980695031 0.827502827052068
2011 21105 0.942982842361362 0.827502827052068
2016 21105 1.15398113411308 0.827502827052068
2014 21105 0.827502827052068 0.827502827052068
2015 21201 0.901776548991856 1.21218418804301
2016 21201 1.02260634564252 1.21218418804301
2011 21201 1.47147017844612 1.21218418804301
2012 21201 1.18254956625025 1.21218418804301
2014 21201 1.21218418804301 1.21218418804301
2010 21201 1.50595465289624 1.21218418804301
2013 21201 1.32908183312364 1.21218418804301
2016 21202 1.43539204964111 1.49965335473558
2015 21202 1.25969528342825 1.49965335473558
