SA2 code,SA2 name,Pop
212041565,Keysborough - North,15204
212041566,Keysborough - South,15284
212051319,Ashwood - Chadstone,19790
212051321,Glen Waverley - East,21899
212051322,Glen Waverley - West,21324
212051323,Mount Waverley - North,16241
212051324,Mount Waverley - South,19475
212051325,Mulgrave,20078
212051326,Oakleigh - Huntingdale,23254
212051327,Wheelers Hill,20854
212051567,Clayton (North) - Notting Hill,10114
212051568,Clayton - Central,12378
213011328,Ardeer - Albion,7595
213011329,Cairnlea,10144
213011331,Delahey,8154
213011332,Keilor Downs,13193
213011333,Kings Park (Vic.),14081
213011334,St Albans - North,20850
213011335,St Albans - South,17666
213011336,Sunshine,9576
213011337,Sunshine North,12163
213011338,Sunshine West,18779
213011339,Sydenham,11866
213011340,Taylors Lakes,17071
213011569,Deer Park,18230
213011570,Derrimut,8751
213021341,Altona,13652
213021342,Altona Meadows,18665
213021343,Altona North,15086
213021344,Newport,18985
213021345,Seabrook,5002
213021346,Williamstown,16074
213031347,Braybrook,19361
213031348,Footscray,17420
213031349,Maribyrnong,12715
213031350,Seddon - Kingsville,9364
213031351,West Footscray - Tottenham,11885
213031352,Yarraville,15653
213041353,Bacchus Marsh,25045
213041358,Melton West,21502
213041359,Rockbank - Mount Cottrell,17836
213041360,Taylors Hill,19800
213041461,Burnside,5855
213041462,Burnside Heights,6442
213041463,Caroline Springs,20643
213041571,Brookfield,9939
213041572,Cobblebank - Strathtulloh,7708
213041573,Eynesbury - Exford,3024
213041574,Fraser Rise - Plumpton,10223
213041575,Hillside,16335
213041576,Kurunjang - Toolern Vale,11745
213041577,Melton,7968
213041578,Melton South - Weir Views,16906
213051361,Hoppers Crossing - North,18663
213051362,Hoppers Crossing - South,19003
213051363,Laverton,11643
213051368,Werribee - South,16985
213051464,Point Cook - East,19585
213051466,Point Cook - South,19385
213051467,Werribee - East,19241
213051468,Werribee - West,22661
213051579,Manor Lakes - Quandong,10781
213051580,Point Cook - North East,14330
213051581,Point Cook - North West,9690
213051582,Tarneit (West) - Mount Cottrell,10301
213051583,Tarneit - Central,28573
213051584,Tarneit - North,7331
213051585,Tarneit - South,11306
213051586,Truganina - North,9532
213051587,Truganina - South East,9751
213051588,Truganina - South West,19385
213051589,Wyndham Vale - North,9163
213051590,Wyndham Vale - South,13695
214011370,Carrum Downs,22262
214011371,Frankston,23908
214011372,Frankston North,19665
214011373,Frankston South,18948
214011374,Langwarrin,25248
214011375,Seaford (Vic.),17359
214011376,Skye - Sandhurst,13419
214021377,Dromana,13460
214021378,Flinders,6021
214021379,Hastings - Somers,24240
214021381,Mount Eliza,18923
214021382,Mount Martha,20020
214021383,Point Nepean,19990
214021384,Rosebud - McCrae,23139
214021385,Somerville,18688
214021591,Mornington - East,15273
214021592,Mornington - West,10636
