"long" "lat" "order" "hole" "piece" "id" "group" "SA4"
1657.25300364 -15294.3836108 10420 FALSE "1" "208" "208.1" "208"
3925.88881887 -15638.0934664 10421 FALSE "1" "208" "208.1" "208"
2942.76392719 -19466.86399002 10422 FALSE "1" "208" "208.1" "208"
4411.27878466 -24120.50125802 10423 FALSE "1" "208" "208.1" "208"
4936.37273171 -24131.44941514 10424 FALSE "1" "208" "208.1" "208"
-2897.15493699 7665.1684608 10425 FALSE "1" "209" "209.1" "209"
-5268.03274922 7299.23268655 10426 FALSE "1" "209" "209.1" "209"
-5640.645603 7891.49318144 10427 FALSE "1" "209" "209.1" "209"
-6359.34615433 9562.81882288 10428 FALSE "1" "209" "209.1" "209"
-6049.30865212 10463.02825455 10429 FALSE "1" "209" "209.1" "209"
-8440.24872834 10807.8907075 10430 FALSE "1" "209" "209.1" "209"
-10501.43094221 11062.50481865 10431 FALSE "1" "209" "209.1" "209"
-10527.90915526 11373.91314797 10432 FALSE "1" "209" "209.1" "209"
-10321.34160626 12651.63026007 10433 FALSE "1" "209" "209.1" "209"
-10707.9670203 17156.98492984 10434 FALSE "1" "209" "209.1" "209"
-11284.20128771 17640.15585951 10435 FALSE "1" "209" "209.1" "209"
-10918.31565218 22181.93365071 10436 FALSE "1" "209" "209.1" "209"
-12485.54525118 23918.14168002 10437 FALSE "1" "209" "209.1" "209"
-13557.32744243 26912.57020087 10438 FALSE "1" "209" "209.1" "209"
-13037.51604515 26980.42998059 10439 FALSE "1" "209" "209.1" "209"
-12021.72602534 31033.21844749 10440 FALSE "1" "209" "209.1" "209"
-11880.46673917 32152.50516647 10441 FALSE "1" "209" "209.1" "209"
-12978.5500107 33569.81346143 10442 FALSE "1" "209" "209.1" "209"
-10933.66330377 35499.63896577 10443 FALSE "1" "209" "209.1" "209"
-10856.19439773 37315.83131013 10444 FALSE "1" "209" "209.1" "209"
-19146.9498585 38441.97223147 10445 FALSE "1" "209" "209.1" "209"
-17239.77408244 42346.82188721 10446 FALSE "1" "209" "209.1" "209"
-18422.7492323 43166.5721318 10447 FALSE "1" "209" "209.1" "209"
-17876.83884387 43382.04525845 10448 FALSE "1" "209" "209.1" "209"
-17573.08128194 45906.43848121 10449 FALSE "1" "209" "209.1" "209"
-18135.24811072 47216.82815729 10450 FALSE "1" "209" "209.1" "209"
-17452.55443797 47346.62605798 10451 FALSE "1" "209" "209.1" "209"
-17839.55379329 49091.08728645 10452 FALSE "1" "209" "209.1" "209"
-15836.54210896 54005.57232424 10453 FALSE "1" "209" "209.1" "209"
-16381.37359742 54100.15591469 10454 FALSE "1" "209" "209.1" "209"
-16144.60007316 55702.19784766 10455 FALSE "1" "209" "209.1" "209"
-15854.19880877 57403.69355194 10456 FALSE "1" "209" "209.1" "209"
-9651.33855637 56454.61369256 10457 FALSE "1" "209" "209.1" "209"
-8888.08150765 57590.26813751 10458 FALSE "1" "209" "209.1" "209"
-6165.5521917 57758.70041604 10459 FALSE "1" "209" "209.1" "209"
-4574.56766711 59305.06522517 10460 FALSE "1" "209" "209.1" "209"
-3891.42516238 65095.06661091 10461 FALSE "1" "209" "209.1" "209"
1561.36756442 65125.67663779 10462 FALSE "1" "209" "209.1" "209"
2222.39417513 64480.16422368 10463 FALSE "1" "209" "209.1" "209"
2240.40973481 61720.67561241 10464 FALSE "1" "209" "209.1" "209"
11288.63007844 61672.89087451 10465 FALSE "1" "209" "209.1" "209"
11229.54637619 58031.0792127 10466 FALSE "1" "209" "209.1" "209"
11910.43081645 58030.75654671 10467 FALSE "1" "209" "209.1" "209"
12129.42238598 56082.81959998 10468 FALSE "1" "209" "209.1" "209"
13160.80374262 55628.20736809 10469 FALSE "1" "209" "209.1" "209"
13982.87914142 53100.63825476 10470 FALSE "1" "209" "209.1" "209"
14687.61018379 52961.79621044 10471 FALSE "1" "209" "209.1" "209"
14675.98820331 48844.25090729 10472 FALSE "1" "209" "209.1" "209"
17092.24413261 47732.97931267 10473 FALSE "1" "209" "209.1" "209"
17492.81856675 48600.92994618 10474 FALSE "1" "209" "209.1" "209"
19318.41559748 48839.54334597 10475 FALSE "1" "209" "209.1" "209"
20549.19961227 48332.63769058 10476 FALSE "1" "209" "209.1" "209"
20541.23085617 46602.91948452 10477 FALSE "1" "209" "209.1" "209"
26578.41283826 46081.04000275 10478 FALSE "1" "209" "209.1" "209"
26576.62753935 45007.08217328 10479 FALSE "1" "209" "209.1" "209"
27710.43915972 44861.1061313 10480 FALSE "1" "209" "209.1" "209"
26852.48715404 43560.2515664 10481 FALSE "1" "209" "209.1" "209"
25390.88851792 43632.09101438 10482 FALSE "1" "209" "209.1" "209"
26121.16742679 42357.1370275 10483 FALSE "1" "209" "209.1" "209"
28086.59635195 42360.62186718 10484 FALSE "1" "209" "209.1" "209"
28324.93308539 43171.91392751 10485 FALSE "1" "209" "209.1" "209"
34380.57001677 43069.16137906 10486 FALSE "1" "209" "209.1" "209"
34920.70075602 45722.75975199 10487 FALSE "1" "209" "209.1" "209"
36883.3893401 45733.03389266 10488 FALSE "1" "209" "209.1" "209"
36535.91036292 43530.64639359 10489 FALSE "1" "209" "209.1" "209"
41570.12140927 43139.46697772 10490 FALSE "1" "209" "209.1" "209"
40691.35477688 35431.39855112 10491 FALSE "1" "209" "209.1" "209"
41983.69999382 33745.01059765 10492 FALSE "1" "209" "209.1" "209"
40818.65565204 33490.97547021 10493 FALSE "1" "209" "209.1" "209"
42407.75982851 30833.9195367 10494 FALSE "1" "209" "209.1" "209"
40832.56874416 28404.47783164 10495 FALSE "1" "209" "209.1" "209"
38124.47870978 32447.62727982 10496 FALSE "1" "209" "209.1" "209"
37580.30778833 31691.36003148 10497 FALSE "1" "209" "209.1" "209"
36048.71531544 32563.54238556 10498 FALSE "1" "209" "209.1" "209"
35568.23133088 32567.49888683 10499 FALSE "1" "209" "209.1" "209"
36113.82048807 31704.07299274 10500 FALSE "1" "209" "209.1" "209"
32684.75278914 32381.42276717 10501 FALSE "1" "209" "209.1" "209"
32497.11887619 33253.43465441 10502 FALSE "1" "209" "209.1" "209"
29852.94725205 33701.17287337 10503 FALSE "1" "209" "209.1" "209"
30098.18106733 35081.34673551 10504 FALSE "1" "209" "209.1" "209"
28813.08519737 34912.05954043 10505 FALSE "1" "209" "209.1" "209"
28069.87468121 35887.1760517 10506 FALSE "1" "209" "209.1" "209"
26823.30050352 35792.04486362 10507 FALSE "1" "209" "209.1" "209"
25974.13374449 34267.39656798 10508 FALSE "1" "209" "209.1" "209"
23543.41759904 33804.84815479 10509 FALSE "1" "209" "209.1" "209"
22406.65156145 22843.93075388 10510 FALSE "1" "209" "209.1" "209"
20323.4160087 19738.95229269 10511 FALSE "1" "209" "209.1" "209"
20376.56348311 17493.68270571 10512 FALSE "1" "209" "209.1" "209"
19143.87131527 17514.26396848 10513 FALSE "1" "209" "209.1" "209"
19580.00428977 15796.96181282 10514 FALSE "1" "209" "209.1" "209"
18885.2724862 15889.81159614 10515 FALSE "1" "209" "209.1" "209"
18626.04374938 14838.96489432 10516 FALSE "1" "209" "209.1" "209"
17069.86745146 15273.30727947 10517 FALSE "1" "209" "209.1" "209"
16489.77200008 16279.95277308 10518 FALSE "1" "209" "209.1" "209"
16323.3452181 14668.12256018 10519 FALSE "1" "209" "209.1" "209"
15229.17828586 14853.23590055 10520 FALSE "1" "209" "209.1" "209"
15498.80257091 15518.03214773 10521 FALSE "1" "209" "209.1" "209"
14796.84182889 16266.40302718 10522 FALSE "1" "209" "209.1" "209"
12561.46551734 13816.91163178 10523 FALSE "1" "209" "209.1" "209"
11895.55219513 14332.01221186 10524 FALSE "1" "209" "209.1" "209"
12540.91933224 12641.63784152 10525 FALSE "1" "209" "209.1" "209"
11360.087748 13129.47165368 10526 FALSE "1" "209" "209.1" "209"
11449.97675291 12342.40611018 10527 FALSE "1" "209" "209.1" "209"
9291.2113706 12010.73585485 10528 FALSE "1" "209" "209.1" "209"
9032.9252555 12480.89214842 10529 FALSE "1" "209" "209.1" "209"
10168.96301933 13098.70555217 10530 FALSE "1" "209" "209.1" "209"
8959.12130887 13274.03195378 10531 FALSE "1" "209" "209.1" "209"
8587.2760128 12054.71537783 10532 FALSE "1" "209" "209.1" "209"
8281.33690567 13110.46208885 10533 FALSE "1" "209" "209.1" "209"
7210.40000271 13342.86249754 10534 FALSE "1" "209" "209.1" "209"
6850.02781025 12382.18815103 10535 FALSE "1" "209" "209.1" "209"
4813.32375319 12874.37671407 10536 FALSE "1" "209" "209.1" "209"
3144.06300913 12107.18998563 10537 FALSE "1" "209" "209.1" "209"
1992.22830297 12144.23151406 10538 FALSE "1" "209" "209.1" "209"
2296.52761775 10979.29941888 10539 FALSE "1" "209" "209.1" "209"
1136.35410696 10516.45122364 10540 FALSE "1" "209" "209.1" "209"
-1533.16775117 10946.34382821 10541 FALSE "1" "209" "209.1" "209"
-2369.5171532 10152.74407776 10542 FALSE "1" "209" "209.1" "209"
-1832.42194849 9736.9972424 10543 FALSE "1" "209" "209.1" "209"
-2508.61267216 9194.82237335 10544 FALSE "1" "209" "209.1" "209"
-2053.70762393 8501.12383718 10545 FALSE "1" "209" "209.1" "209"
-2684.55843885 8641.89507496 10546 FALSE "1" "209" "209.1" "209"
-2897.15493699 7665.1684608 10547 FALSE "1" "209" "209.1" "209"
-18597.22826026 9756.99462121 10548 FALSE "1" "210" "210.1" "210"
-19270.85040415 10390.00322293 10549 FALSE "1" "210" "210.1" "210"
-20211.9588061 9300.10587686 10550 FALSE "1" "210" "210.1" "210"
-19908.80819386 8694.6990868 10551 FALSE "1" "210" "210.1" "210"
-21075.48075732 8172.33365915 10552 FALSE "1" "210" "210.1" "210"
-21907.01396092 8824.47896214 10553 FALSE "1" "210" "210.1" "210"
-22373.84282094 11362.77420304 10554 FALSE "1" "210" "210.1" "210"
-24015.68933238 12811.73825298 10555 FALSE "1" "210" "210.1" "210"
