SA3_CODE_2021,Names,Popn
40403,West Torrens,64945
40501,Barossa,37939
40502,Lower North,22696
40503,Mid North,27170
40504,Yorke Peninsula,26605
40601,Eyre Peninsula and South West,57104
40602,Outback - North and East,25553
40701,Fleurieu - Kangaroo Island,55501
40702,Limestone Coast,66946
40703,Murray and Mallee,71302
49797,Migratory - Offshore - Shipping (SA),12
49999,No usual address (SA),3377
50101,Augusta - Margaret River - Busselton,57126
50102,Bunbury,107542
50103,Manjimup,23889
50201,Mandurah,107615
50301,Cottesloe - Claremont,71744
50302,Perth City,110581
50401,Bayswater - Bassendean,84398
50402,Mundaring,43750
50403,Swan,148112
50501,Joondalup,160618
50502,Stirling,208200
50503,Wanneroo,208465
50601,Armadale,94198
50602,Belmont - Victoria Park,75339
50603,Canning,99100
50604,Gosnells,126421
50605,Kalamunda,58716
50606,Serpentine - Jarrahdale,32196
50607,South Perth,43453
50701,Cockburn,115904
50702,Fremantle,39928
50703,Kwinana,45800
50704,Melville,106166
50705,Rockingham,135692
50901,Albany,61834
50902,Wheat Belt - North,56048
50903,Wheat Belt - South,19370
51001,Kimberley,35090
51002,East Pilbara,25391
51003,West Pilbara,29604
51101,Esperance,15933
51102,Gascoyne,9515
51103,Goldfields,38284
51104,Mid West,54970
59797,Migratory - Offshore - Shipping (WA),522
59999,No usual address (WA),8055
60101,Brighton,19608
60102,Hobart - North East,59201
60103,Hobart - North West,57923
60104,Hobart - South and West,36688
60105,Hobart Inner,55072
60106,Sorell - Dodges Ferry,18527
60201,Launceston,87365
60202,Meander Valley - West Tamar,24252
60203,North East,39573
60301,Central Highlands (Tas.),12465
60302,Huon - Bruny Island,21719
60303,South East Coast,7582
60401,Burnie - Ulverstone,50013
60402,Devonport,48209
60403,West Coast,17777
69797,Migratory - Offshore - Shipping (Tas.),17
69999,No usual address (Tas.),1377
70101,Darwin City,27115
70102,Darwin Suburbs,54574
70103,Litchfield,20954
70104,Palmerston,37203
70201,Alice Springs,36430
70202,Barkly,5290
70203,Daly - Tiwi - West Arnhem,15781
70204,East Arnhem,12782
70205,Katherine,18789
79797,Migratory - Offshore - Shipping (NT),91
79999,No usual address (NT),3500
80101,Belconnen,106090
80103,Canberra East,1952
80104,Gungahlin,87604
80105,North Canberra,61246
80106,South Canberra,31609
80107,Tuggeranong,89403
80108,Weston Creek,24582
80109,Woden Valley,39253
80110,Molonglo,11399
80111,Uriarra - Namadgi,626
89797,Migratory - Offshore - Shipping (ACT),0
89999,No usual address (ACT),605
90101,Christmas Island,1699
90102,Cocos (Keeling) Islands,593
90103,Jervis Bay,308
90104,Norfolk Island,2185
99797,Migratory - Offshore - Shipping (OT),0
99999,No usual address (OT),11
ZZZZZ,Outside Australia,NA
NA,NA,NA
