SA1_CODE_2021,Popn
10201103516,242
10201103517,144
10201103601,233
10201103602,222
10201103603,537
10201103604,300
10201103605,407
10201103606,302
10201103607,220
10201103608,499
10201103609,406
10201103610,551
10201103611,343
10201103612,172
10201103613,396
10201103614,511
10201103615,257
10201103616,313
10201103617,391
10201103618,243
10201103619,487
10201103620,513
10201103621,664
10201103622,266
10201103701,696
10201103702,539
10201103703,650
10201103704,247
10201103705,482
10201103706,386
10201103707,494
10201103708,238
10201103709,682
10201103710,367
10201103711,342
10201103712,305
10201103713,655
10201103714,458
10201103801,446
10201103802,539
10201103803,379
10201103804,578
10201103805,297
10201103806,263
10201103807,441
10201103808,270
10201103809,586
10201103810,336
10201103811,479
10201103812,353
10201103813,557
10201103814,521
10201103815,328
10201103816,423
10201103817,349
10201103901,727
10201103902,412
10201103903,313
10201103904,587
10201103905,420
10201103906,512
10201103908,421
10201103909,704
10201103911,632
10201103912,658
10201103913,660
10201103914,335
10201103915,509
10201103916,534
10201103917,395
10201103918,556
10201103919,404
10201103921,617
10201103922,521
10201103923,370
10201103924,222
10201103925,466
10201103926,670
10201103927,502
10201103928,592
10201103929,391
10201103931,414
10201103932,408
10201103933,388
10201103934,169
10201103935,147
10201103936,229
10201104001,373
10201104002,318
10201104003,310
10201104004,448
10201104005,316
10201104006,593
10201104007,321
10201104008,0
10201104009,520
10201104010,396
10201104011,393
10201104012,325
10201104013,569
10201104014,541
10201104015,206
10201104016,514
10201104017,676
10201104018,456
10201104019,475
10201104020,460
10201104021,469
10201104022,243
10201104023,290
10201104024,520
10201104025,329
10201104026,629
10201104027,327
10201104028,374
10201104029,450
10201104030,394
10201104031,407
10201104032,267
10201104033,462
10201104034,566
10201104035,370
10201104036,368
10201104037,326
10201104038,396
10201104039,662
10201104040,438
10201104041,340
10201104042,458
10201104043,527
10201104044,343
10201104045,469
10201104046,499
10201104047,513
10201104048,477
10201104049,462
10201104050,386
10201104051,491
10201104052,429
10201104053,528
10201104054,351
10201104055,522
10201104056,420
10201104057,604
10201104058,356
10201104101,516
10201104102,654
10201104103,413
10201104104,452
10201104105,401
10201104106,439
10201104107,266
10201104108,0
10201104109,430
10201104110,483
10201104111,267
10201104112,523
10201104113,445
10201104114,627
10201104115,373
10201104116,407
10201104117,287
10201104118,0
10201104119,493
10201104120,452
10201104121,1038
10201104122,329
10201104123,437
10201104124,433
10201104125,495
10201104201,495
10201104202,565
10201104203,306
10201104204,435
10201104205,568
10201104206,0
10201104207,501
10201104208,538
10201104209,241
10201104210,405
10201104211,418
10201104212,0
10201104213,652
10201104214,573
10201104215,391
10201104216,415
10201104217,511
10201104218,488
10201104219,369
10201104220,542
10201104221,496
10201104222,475
10201104223,355
10201104224,503
10201104225,459
10201104226,487
10201104227,420
10201104228,509
10201104229,350
10201104230,402
10201104231,615
10201104232,372
10201104233,475
10201104301,122
10201104302,358
10201104303,492
10201104304,425
10201104305,360
10201104306,10
10201104307,256
10201104308,313
10201104309,358
10201104310,208
10201104311,428
10201104312,696
10201104313,374
10201104314,211
10201104315,408
10201104316,364
10201104317,416
10201104318,370
10201104319,440
10201104320,473
10201104321,473
10201104322,321
10201104323,457
10201104324,510
10201104325,400
10201104326,571
10201104327,392
10201104328,270
10201104329,322
10201104330,637
10202104401,336
10202104402,352
10202104403,260
10202104404,687
10202104405,281
10202104406,271
10202104407,475
10202104408,331
10202104409,331
10202104410,217
10202104411,319
10202104412,663
10202104413,0
10202104414,504
10202104415,458
10202104416,749
10202104417,594
10202104418,0
10202104419,482
10202104420,312
10202104421,318
10202104422,478
10202104423,528
10202104424,306
10202104425,213
10202104426,452
10202104427,293
10202104428,386
10202104429,531
10202104430,313
10202104431,283
10202104432,300
10202104433,339
10202104434,656
10202104435,331
10202104436,483
10202104437,329
10202104438,426
10202104439,426
10202104440,348
10202104441,390
10202104442,390
10202104443,246
10202104444,337
10202104445,401
10202104446,626
10202104447,525
10202104448,406
10202104449,379
10202104450,404
10202104451,389
10202104452,224
10202104453,419
10202104454,224
10202104455,563
10202104456,445
10202104457,389
10202104458,330
10202104459,412
10202104501,433
10202104502,329
10202104503,255
10202104504,613
10202104505,610
10202104506,621
10202104507,563
10202104508,402
10202104509,419
10202104510,608
10202104511,548
10202104512,409
10202104513,708
10202104514,472
10202104515,359
10202104516,580
10202104517,303
10202104518,984
10202104519,291
10202104520,0
10202104521,440
10202104522,397
10202104523,280
10202104524,666
10202104601,399
10202104602,323
10202104603,511
10202104604,420
10202104605,265
10202104606,481
10202104607,477
10202104608,543
10202104609,438
10202104610,265
10202104611,265
10202104612,297
10202104613,0
10202104614,294
10202104615,320
10202104616,531
10202104617,453
10202104618,593
10202104619,514
10202104620,409
10202104621,329
10202104622,337
10202104623,62
10202104624,506
10202104625,718
10202104701,453
10202104702,272
10202104703,224
10202104704,548
10202104705,554
10202104706,393
10202104707,546
10202104708,622
10202104709,536
10202104710,252
10202104711,473
10202104712,518
10202104713,785
10202104714,196
10202104715,460
10202104716,364
10202104717,413
10202104718,416
10202104719,672
10202104720,273
10202104721,459
10202104722,545
10202104723,265
10202104724,429
10202104725,299
10202104726,373
10202104727,376
10202104728,655
10202104729,599
10202104730,347
10202104731,584
10202104732,471
10202104733,187
10202104734,283
10202104735,516
10202104736,531
10202104737,113
10202104801,307
10202104802,436
10202104803,520
10202104804,371
10202104805,360
10202104806,279
10202104807,565
10202104808,361
10202104809,453
10202104810,663
10202104811,618
10202104812,544
10202104813,556
10202104814,731
10202104815,436
10202104816,350
10202104817,486
10202104818,614
10202104819,466
10202104820,301
10202104821,508
10202104822,587
10202104823,365
10202104824,726
10202104825,499
10202104826,393
10202104827,547
10202104828,558
10202104829,474
10202104830,536
10202104831,377
10202104832,525
10202104833,483
10202104834,346
10202104835,338
10202104836,580
10202104837,602
10202104838,323
10202104840,331
10202104841,343
10202104842,369
10202104843,489
10202104844,311
10202104845,533
10202104846,522
10202104847,336
10202104848,481
10202104849,526
10202104901,478
10202104902,302
10202104903,425
10202104904,343
10202104905,526
10202104906,360
10202104907,236
10202104908,241
10202104909,0
10202104910,503
10202105001,658
10202105002,313
10202105003,476
10202105004,325
10202105005,443
10202105006,445
10202105007,397
10202105008,701
10202105009,434
10202105010,325
10202105011,439
10202105012,371
10202105013,383
10202105014,0
10202105015,296
10202105016,3
10202105017,383
10202105018,326
10202105019,425
10202105020,343
10202105021,765
10202105022,409
10202105024,431
10202105025,354
10202105026,578
10202105027,362
10202105028,574
10202105101,522
10202105102,411
10202105103,250
10202105104,248
10202105105,0
10202105106,462
10202105107,89
10202105108,481
10202105109,270
10202105110,376
10202105111,267
10202105112,314
10202105113,413
10202105114,336
10202105115,265
10202105116,237
10202105201,583
10202105202,553
10202105203,349
10202105204,940
10202105205,653
10202105206,447
10202105207,505
10202105208,408
10202105209,370
10202105210,308
10202105211,0
10202105213,294
10202105214,274
10202105215,315
10202105216,495
10202105301,562
10202105302,430
10202105303,492
10202105304,383
10202105305,554
10202105306,425
10202105307,612
10202105308,385
10202105309,383
10202105310,466
10202105311,353
10202105312,309
10202105313,310
10202105314,435
10202105315,627
10202105316,549
10202105317,294
10202105318,336
10202105319,247
10202105320,332
10202105321,703
10202105322,332
10202105323,30
10202105324,440
10202105325,387
10202105326,438
10202105327,372
10202105328,619
10202105329,531
10202105330,531
10202105331,317
10202105332,402
10202105333,391
10202105334,643
10202105335,440
10202105336,243
10202105337,575
10202105401,564
10202105402,359
10202105403,398
10202105404,505
10202105405,336
10202105406,466
10202105407,586
10202105408,757
10202105409,372
10202105410,411
10202105411,393
10202105412,437
10202105413,325
10202105414,371
10202105415,3
10202105416,0
10202105417,290
10202105418,655
10202105419,583
10202105420,439
10202105421,455
10202105422,427
10202105423,476
10202105424,289
10202105501,331
10202105502,539
10202105503,485
10202105504,22
10202105505,330
10202105506,542
10202105507,554
10202105508,392
10202105509,476
10202105510,259
10202105511,522
10202105512,251
10202105513,281
10202105514,257
10202105601,876
10202105602,831
10202105603,689
10202105604,235
10202105605,647
10202105606,296
10202105607,506
10202105608,519
10202105609,389
10202105612,486
10202105613,545
10202105614,525
10202105615,818
10202105616,20
10202105617,294
10202105620,378
10202105621,0
10202105622,413
10202105623,432
10202105624,410
10202105627,543
10202105628,769
10202105629,640
10202105630,798
10202105631,500
10202105634,1003
10202105635,508
10202105636,482
10202105637,435
10202105638,462
10202105639,293
10202105640,498
10202105641,636
10202105642,415
10202105643,601
10202105644,473
10202105645,302
10202105646,454
10202105647,590
10202105648,365
10202105701,821
10202105702,483
10202105703,531
10202105704,461
10202105705,32
10202105706,356
10202105707,672
10202105708,292
10202105709,424
10202105710,741
10202105711,390
10202105712,359
10202105713,265
10202105714,278
10202105715,363
10202105716,556
10202105717,574
10202105718,778
10202105719,497
10202105720,244
10301105901,383
10301105902,350
10301105903,294
10301105904,0
10301105905,490
10301105906,318
10301105907,300
10301105908,211
10301105912,315
10301105913,539
10301105914,422
10301105915,357
10301105916,636
10301105917,794
10301105918,602
10301105920,269
10301105922,476
10301105924,242
10301105925,521
10301105926,404
10301105927,89
10301105928,521
10301105929,652
10301105930,350
10301105931,495
10301105932,479
10301105933,656
10301105934,322
10301105935,859
10301106001,206
10301106002,239
10301106003,252
10301106004,359
10301106005,382
10301106006,526
10301106007,175
10301106008,359
10301106009,237
10301106010,560
10301106011,345
10301106012,427
10301106013,289
10301106014,242
10301106015,317
10301106016,525
10301106017,274
10301106018,337
10301106019,358
10301106020,311
10301106021,187
10301106101,194
10301106103,354
10301106104,289
10301106105,265
10301106106,444
10301106107,250
10301106108,395
10301106109,187
10301106111,274
10301106112,471
10301106113,14
10301106114,267
10301106115,271
10301106116,356
10301106117,392
10301106118,431
10301161201,521
10301161202,781
10301161203,241
10301161204,500
10301161205,350
10301161206,349
10301161207,447
10301161208,493
10301161209,365
10301161210,440
10301161211,199
10301161212,509
10301161213,229
