"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "sa3_code11" "sa3_name11" "sa4_code11" "sa4_name11" "gcc_code11" "gcc_name11" "ste_code11" "ste_name11" "albers_sqm" "SA3_CODE"
-6363.16590111 -1813.87810057 4149 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-5925.46264331 1400.48258765 4150 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-3543.8967071 -524.27732859 4151 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-2713.11144968 -2705.19676238 4152 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-689.65634577 -2428.89216018 4153 FALSE "1" "120" "120.1" "92" "20804" "Stonnington - East" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 13724692.3879034 20804
-11284.20128771 17640.15585951 8976 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-3684.60192225 16649.94909439 8977 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-4292.13390162 15717.13915638 8978 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-2208.99220817 15673.02377449 8979 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-2246.07075935 14857.76195549 8980 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-3457.8410313 13373.57649871 8981 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-5435.52242404 13590.56560768 8982 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-6049.30865212 10463.02825455 8983 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-8440.24872834 10807.8907075 8984 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-10501.43094221 11062.50481865 8985 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-10527.90915526 11373.91314797 8986 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-10321.34160626 12651.63026007 8987 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-10707.9670203 17156.98492984 8988 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
-11284.20128771 17640.15585951 8989 FALSE "1" "135" "135.1" "115" "20902" "Darebin - North" "209" "Melbourne - North East" "2GMEL" "Greater Melbourne" "2" "Victoria" 39443777.1281618 20902
24255.83645897 -25519.68831162 9848 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
19475.93099243 -24752.55943511 9849 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
20173.43752493 -23203.84128485 9850 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
19410.32789421 -22969.7667804 9851 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
19389.74059321 -21585.00903619 9852 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
17726.60319581 -21449.81158756 9853 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
16398.32493494 -19067.07171214 9854 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
13083.0135175 -18547.88844892 9855 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
13337.01796838 -17063.65182126 9856 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
11183.69129565 -16739.04168974 9857 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
11859.92450499 -14109.93888176 9858 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
11394.36424118 -11367.27764362 9859 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
11712.9057491 -10207.69160507 9860 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
15787.76885245 -10847.88038269 9861 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
16975.65561071 -12767.36047987 9862 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
24532.16970625 -13914.21899115 9863 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
24404.80055616 -16836.015246 9864 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
25050.26078556 -17678.31037375 9865 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
23172.49501774 -22427.83389852 9866 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
24644.05701125 -24115.8747276 9867 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
24255.83645897 -25519.68831162 9868 FALSE "1" "149" "149.1" "310" "21202" "Casey - North" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 116471799.456289 21202
-5769.37957722 -9215.25630257 10283 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-3930.70771809 -13061.93664254 10284 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-4243.84583447 -15187.41112437 10285 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-5453.29602833 -16256.68344076 10286 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-7208.91086398 -14632.73842411 10287 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-9394.22099926 -10456.60316898 10288 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-8861.20727969 -10049.9108767 10289 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-10064.5931368 -8468.14635263 10290 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-9994.28755138 -7450.5497673 10291 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-10116.55025579 -4557.27288755 10292 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-9060.18841173 -3758.16380863 10293 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-8239.2138798 -5533.89600361 10294 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-6509.30296058 -5792.62402097 10295 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-6818.04497025 -7840.36261121 10296 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
-5769.37957722 -9215.25630257 10297 FALSE "1" "155" "155.1" "152" "20801" "Bayside" "208" "Melbourne - Inner South" "2GMEL" "Greater Melbourne" "2" "Victoria" 37210899.1318297 20801
12247.00717984 -25280.38872902 11352 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
4936.37273171 -24131.44941514 11353 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
4411.27878466 -24120.50125802 11354 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
2942.76392719 -19466.86399002 11355 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
3925.88881887 -15638.0934664 11356 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
1657.25300364 -15294.3836108 11357 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
1080.69294257 -11928.47458532 11358 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
-1799.13927262 -9851.18177522 11359 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
-1540.7660072 -8213.49695358 11360 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
3658.33837774 -9032.89394991 11361 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
3813.07325719 -8276.7756532 11362 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
4987.07713472 -9230.22348748 11363 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
10477.11070552 -10012.61030039 11364 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
11394.36424118 -11367.27764362 11365 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
11859.92450499 -14109.93888176 11366 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
11183.69129565 -16739.04168974 11367 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
13337.01796838 -17063.65182126 11368 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
13083.0135175 -18547.88844892 11369 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
12247.00717984 -25280.38872902 11370 FALSE "1" "160" "160.1" "145" "21204" "Dandenong" "212" "Melbourne - South East" "2GMEL" "Greater Melbourne" "2" "Victoria" 151100375.480647 21204
-30734.9686041 4330.95475076 13216 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-45029.20939432 6189.04887262 13217 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-46020.39097 4654.01358567 13218 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-49972.64718894 6810.74607637 13219 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-54822.49416276 7474.70073378 13220 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-53740.07214007 15841.60853028 13221 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
