"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "state_code" "state_name" "country_co" "STE_CODE"
101734.57506378 -127910.48059743 49930 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
99537.80121647 -127841.49107353 49931 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
101132.58202653 -127325.55823667 49932 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
101349.33482062 -125303.98273452 49933 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
98339.68519237 -119237.62060358 49934 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
94540.48716437 -114180.99125743 49935 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
89736.92439076 -110112.89735592 49936 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
85458.76015555 -107681.20016135 49937 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
81088.08601844 -107330.72012953 49938 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
78976.71946444 -108698.84738997 49939 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
77950.53060434 -110987.31522476 49940 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
78643.74081223 -114493.00950978 49941 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
76289.52233067 -116374.85770211 49942 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
72873.61654009 -116457.7103384 49943 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
71228.27640642 -117941.23160248 49944 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
70329.04209019 -116062.20621821 49945 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
70721.13644632 -113775.81042403 49946 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
66871.2900703 -103085.93868776 49947 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
62470.26628373 -96036.41958363 49948 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
57923.70867463 -90870.77224968 49949 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
54800.73137758 -88416.14536082 49950 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
53453.8159153 -88440.44484315 49951 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
51267.29555377 -89099.75581647 49952 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
49780.55748809 -91353.49227221 49953 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
48458.77624118 -91936.8411676 49954 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
46868.52886442 -91429.21466788 49955 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
44091.13542702 -92117.87481414 49956 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
40097.4199009 -89057.83663215 49957 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
38106.94113726 -84572.42752482 49958 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
33444.11824099 -78436.1347519 49959 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
28221.98955976 -76248.93016959 49960 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
23716.4528014 -76214.13823543 49961 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
22972.23203057 -74510.59890763 49962 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
27837.0407411 -73662.31317511 49963 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
29180.23689099 -71494.99427059 49964 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
29015.23225107 -70022.98773166 49965 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
27726.43396018 -69019.93144817 49966 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
28651.60633935 -67852.83405144 49967 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
29145.67755263 -64972.6464951 49968 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
27634.28484443 -61873.23934123 49969 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
30878.93404893 -62513.86999362 49970 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
33302.39970656 -61909.21338269 49971 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
34049.89445386 -62797.06737627 49972 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
36279.64326764 -62848.87452639 49973 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
39231.14631599 -58002.03490579 49974 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
39550.07401866 -55868.03912724 49975 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
38917.30270229 -54431.42680638 49976 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
36311.7507717 -54226.5914653 49977 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
36926.13089188 -49916.14099077 49978 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
34823.72947284 -47146.46332042 49979 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
34057.26864269 -42629.45240043 49980 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
31520.79816367 -42022.44287906 49981 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
29634.49452798 -40501.58823996 49982 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
27223.83572496 -42008.03345942 49983 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
21637.88279081 -40384.06592684 49984 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
21130.95995245 -42158.2121938 49985 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
19683.24614119 -43552.10826303 49986 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
17359.04240844 -44250.29330038 49987 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
15243.6318019 -43758.49984594 49988 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
15639.3568166 -42682.41230074 49989 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
15024.12502515 -41411.97554734 49990 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
13552.83093901 -41420.15372194 49991 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
13421.67687417 -42820.43796613 49992 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
14158.3353898 -43570.6125276 49993 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
10995.53664001 -46895.97681483 49994 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
10760.03916157 -50673.50225791 49995 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
9289.48499687 -50376.19827769 49996 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
9275.19505379 -49942.71566486 49997 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
8746.97305331 -49185.41945615 49998 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
8129.67170937 -49570.96024795 49999 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
8741.27079144 -51158.27130478 50000 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
8119.05843472 -52673.48852936 50001 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
10383.35785738 -55239.90614868 50002 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
9916.02993314 -57271.2338596 50003 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
10656.14501487 -58591.82205057 50004 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
9692.32606399 -58687.84877839 50005 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
8425.34052075 -57344.72858776 50006 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
7339.03857313 -58231.72403112 50007 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
10065.34033538 -59181.17137973 50008 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
11746.22073864 -62133.40583069 50009 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
9657.96687672 -61788.6482791 50010 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
7467.5622209 -60917.04234609 50011 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
5737.87073199 -60688.98420869 50012 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
4624.12811791 -60291.31843025 50013 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
4268.41278247 -60257.48465906 50014 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
4091.82665683 -60148.4099488 50015 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
3879.48745269 -60086.34249594 50016 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
3017.44290586 -59849.98128392 50017 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2728.36949269 -59846.21263071 50018 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2634.8192373 -59785.79007903 50019 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
3078.83583096 -59684.4948567 50020 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2133.14474684 -59863.06545984 50021 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2974.37904925 -59861.2845656 50022 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
4176.78485077 -60235.92547366 50023 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2615.27784908 -59989.96624242 50024 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-336.41995029 -61327.65155475 50025 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-2062.19678838 -63874.24519199 50026 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-4349.68816122 -64383.10851137 50027 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-6532.91587262 -69414.23376397 50028 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-5898.12634996 -70648.0106945 50029 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-7765.9721001 -69895.98316413 50030 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-10763.27503566 -71084.17907588 50031 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-13190.52436085 -70889.48732959 50032 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-14183.77840285 -71838.52938038 50033 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-15821.11203449 -71834.30024597 50034 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-16476.17933683 -70973.78769674 50035 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-18558.5518701 -72043.87794873 50036 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-18616.72034961 -69642.38579922 50037 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-22826.88889384 -64448.26854308 50038 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-31314.27233489 -55998.06786409 50039 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-39194.06853347 -50496.57091468 50040 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-36716.66911085 -50611.71154653 50041 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-31992.98121524 -52507.77346124 50042 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-29129.46901297 -56260.51754576 50043 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-24934.09865639 -57596.72104077 50044 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-21766.52855544 -57609.52940576 50045 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-15457.12860783 -55431.39370063 50046 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-9760.94856859 -51809.9060058 50047 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-9243.02898076 -50450.40532889 50048 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-10249.77985675 -49557.38451677 50049 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-6511.34126547 -44773.68897316 50050 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-5918.54635089 -40257.80494704 50051 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-4820.9707047 -40338.32347887 50052 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-3355.80308866 -38983.00905154 50053 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
-1091.04983646 -34879.38278008 50054 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
1607.32491023 -32845.99460847 50055 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2149.06025023 -28640.74776997 50056 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
1736.71368983 -24874.21952732 50057 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
2247.35187411 -24603.234121 50058 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
